Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.00051413,-1.48,9.5,1.0,26.8780879974,1.0,0.457,3.864,4.389,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-2.29e-13,0.0,0.7939,0.2056,7.93e-05,2.173e-05,0.0001979,-1.0,0.000465,3.629,3.604,3.736,3.352,3.95,3.73,3.073,2.943,2.928
0.00051413,-1.48,9.5,1.0127024651,26.8789958954,1.012,0.494,3.87,4.381,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-2.46e-13,0.0,0.7943,0.2052,7.921e-05,2.171e-05,0.0001978,-1.0,0.0004865,3.534,3.51,3.634,3.272,3.837,3.629,3.01,2.893,2.878
0.00051413,-1.48,9.5,1.028390646,26.8800811768,1.028,0.542,3.8778,4.371,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-2.7e-13,0.0,0.7946,0.2049,7.912e-05,2.169e-05,0.0001975,-1.0,0.0004327,3.414,3.391,3.505,3.172,3.693,3.5,2.93,2.83,2.815
0.00051413,-1.48,9.5,1.0427209139,26.8810386658,1.042,0.587,3.885,4.361,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-2.94e-13,0.0,0.7949,0.2047,7.907e-05,2.167e-05,0.0001974,-1.0,0.0004198,3.302,3.28,3.384,3.078,3.558,3.38,2.856,2.77,2.756
0.00051413,-1.48,9.5,1.0499999523,26.8815135956,1.049,0.611,3.8887,4.355,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.08e-13,0.0,0.795,0.2046,7.905e-05,2.167e-05,0.0001974,-1.0,0.000418,3.243,3.222,3.321,3.029,3.488,3.318,2.818,2.739,2.724
0.00051413,-1.48,9.5,1.0547798872,26.8818225861,1.054,0.626,3.8911,4.351,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.17e-13,0.0,0.7951,0.2045,7.9e-05,2.166e-05,0.0001973,-1.0,0.0004246,3.206,3.186,3.281,2.998,3.444,3.279,2.793,2.719,2.704
0.00051413,-1.48,9.5,1.0645612478,26.882440567,1.063,0.657,3.8957,4.343,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.36e-13,0.0,0.7954,0.2042,7.893e-05,2.164e-05,0.0001971,-1.0,0.0004479,3.129,3.11,3.2,2.934,3.353,3.198,2.742,2.677,2.662
0.00051413,-1.48,9.5,1.0743180513,26.8830451965,1.073,0.688,3.9002,4.334,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.58e-13,0.0,0.7956,0.204,7.888e-05,2.162e-05,0.000197,-1.0,0.0004553,3.051,3.034,3.118,2.87,3.263,3.117,2.689,2.632,2.617
0.00051413,-1.48,9.5,1.0828375816,26.883562088,1.081,0.714,3.9037,4.324,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.78e-13,0.0,0.7957,0.2038,7.884e-05,2.161e-05,0.0001969,-1.0,0.0004386,2.984,2.969,3.048,2.814,3.186,3.048,2.642,2.592,2.577
0.00051413,-1.48,9.5,1.0901210308,26.8839969635,1.089,0.737,3.9065,4.316,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-3.97e-13,0.0,0.7956,0.2039,7.886e-05,2.162e-05,0.0001969,-1.0,0.0004736,2.927,2.913,2.989,2.765,3.121,2.989,2.601,2.556,2.54
0.00051413,-1.48,9.5,1.099743247,26.8845615387,1.098,0.767,3.9101,4.304,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-4.23e-13,0.0,0.7958,0.2037,7.882e-05,2.161e-05,0.0001968,-1.0,0.000437,2.853,2.842,2.912,2.703,3.037,2.914,2.548,2.509,2.494
0.00051413,-1.48,9.5,1.1000000238,26.8845767975,1.099,0.768,3.9102,4.304,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-4.24e-13,0.0,0.7959,0.2037,7.882e-05,2.161e-05,0.0001968,-1.0,0.0004337,2.851,2.84,2.91,2.702,3.035,2.912,2.546,2.508,2.493
0.00051413,-1.48,9.5,1.1032159328,26.8847618103,1.102,0.777,3.9108,4.298,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-4.33e-13,0.0,0.7959,0.2037,7.881e-05,2.161e-05,0.0001968,-1.0,0.0004198,2.828,2.817,2.887,2.68,3.009,2.889,2.526,2.489,2.474
0.00051413,-1.48,9.5,1.1190140247,26.8856563568,1.118,0.834,3.9164,4.27,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-4.91e-13,0.0,0.7959,0.2037,7.881e-05,2.162e-05,0.0001969,-1.0,0.0004604,2.686,2.68,2.742,2.558,2.852,2.747,2.418,2.39,2.375
0.00051413,-1.48,9.5,1.1265289783,26.8860721588,1.125,0.867,3.9209,4.258,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-5.28e-13,0.0,0.7958,0.2037,7.883e-05,2.163e-05,0.0001969,-1.0,0.0004766,2.603,2.602,2.659,2.492,2.759,2.665,2.363,2.341,2.326
0.00051413,-1.48,9.5,1.1292660236,26.8862228394,1.128,0.886,3.9238,4.252,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-5.53e-13,0.0,0.7957,0.2038,7.886e-05,2.164e-05,0.000197,-1.0,0.0004602,2.556,2.561,2.613,2.458,2.708,2.621,2.335,2.317,2.302
0.00051413,-1.48,9.5,1.1294205189,26.8862304688,1.128,0.887,3.924,4.252,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-5.55e-13,0.0,0.7957,0.2038,7.886e-05,2.164e-05,0.000197,-1.0,0.0004591,2.553,2.558,2.61,2.455,2.704,2.618,2.333,2.316,2.3
